Área Geográfica,,Valores constantes a precios de 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valores constantes a precios de 2003 - Absolutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,
,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,
Clave,Nombre,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente
21,Puebla,244943139,12117756,84560288,150123340,-1858246,248457360,12300714,82040059,156519654,-2403067,265812109,12109904,93691034,162819214,-2808043,282260554,12849862,102209381,170535557,-3334247,293313592,12931423,107300303,177101579,-4019714,300259776,13335558,111070815,180362093,-4508691,272650163,12683330,91168690,173444954,-4646811,299380124,13651710,108430008,182333395,-5034989,315615177,12455858,118110047,190923814,-5874542
22,Querétaro,118150464,4259951,44802396,69832286,-744170,126355298,4270544,47038723,75695649,-649618,133513964,3955825,49917878,80387521,-747260,142795650,4059337,53463241,86285595,-1012523,153826241,4490101,56868605,93836604,-1369069,159716447,4412728,58382174,98553769,-1632223,146333291,4234012,52089679,92009314,-1999714,155805119,4606695,56229841,97055490,-2086907,167826782,4467197,62331621,103418052,-2390087
23,Quintana Roo,98484173,966502,14421264,83883008,-786601,105452805,963712,14959691,90273945,-744544,113146617,1058840,19800648,93239510,-952381,118722302,1121289,20820335,98461542,-1680864,129851292,994825,20596560,110587136,-2327229,131474074,852023,18122243,115271708,-2771901,119731249,961010,15298679,106931803,-3460242,126900654,1074476,13690462,115598677,-3462962,133477940,1189482,14367959,122176766,-4256267
24,San Luis Potosí,128428627,6821394,46009748,76510273,-912788,135668737,6965694,49530291,80140542,-967790,140179546,6538718,51216211,83567500,-1142882,148131411,6665927,54777891,87934552,-1246958,150988740,6704908,54605883,91249113,-1571164,156198263,7057755,57784431,93224599,-1868522,146394109,6690296,53313194,88561985,-2171366,153252585,6814367,55969946,92851479,-2383207,162522756,6467090,61336996,97598182,-2879512
25,Sinaloa,146018584,17424421,25993011,103750500,-1149348,154992870,19603499,29810725,106728232,-1149587,156963979,19670245,26673745,112181211,-1561222,162102276,20445519,26856090,117030027,-2229360,171670866,22993098,30028640,121571671,-2922542,175423698,22942850,30848195,125409531,-3776878,166449086,21079271,29998130,119704372,-4332686,176201597,21495415,33099456,126112614,-4505888,175424776,16302312,33236914,131044063,-5158514
26,Sonora,169527306,15652723,50292642,105517812,-1935871,179330489,14227813,55703174,111589346,-2189843,186337141,16458489,56420932,115642446,-2184726,202869065,15792073,67243956,122017921,-2184885,208899220,18112838,65779333,127733482,-2726433,209559048,17910477,65471370,129390393,-3213192,199069572,18083111,60966526,123603696,-3583762,209207790,18720829,65152451,129220573,-3886063,224120192,18384966,72462500,137787727,-4515001
27,Tabasco,170381670,4225394,97379035,69322477,-545237,177256378,4434942,101159082,72222672,-560318,191911760,4171875,112823869,75578106,-662091,203867773,4245216,120958783,79520864,-857090,209715666,4127698,124166469,82506986,-1085487,218398031,3924993,131322446,84423132,-1272540,223275586,3719699,141184925,79808045,-1437083,235419152,3795424,150448849,82742047,-1567168,247606943,3735149,158484131,87199855,-1812192
28,Tamaulipas,244346686,9438121,94417295,141433689,-942419,261049771,10312336,105497145,146224592,-984302,265268776,10194464,102866704,153562406,-1354797,267828048,9922465,99025726,160674234,-1794376,285517878,10499850,110209473,167048588,-2240033,296016203,10209595,117652168,170686423,-2531982,268768309,10324391,100787858,160580523,-2924464,273340542,10697057,100777725,165119405,-3253645,276222265,10155491,97197648,172608191,-3739065
29,Tlaxcala,41937491,1953852,15209007,24875824,-101192,43940199,1886738,16599225,25547501,-93265,42214969,1705341,14323608,26302574,-116553,44966924,1953277,15006709,28145557,-138619,45836916,1973534,15130964,28903456,-171038,46003465,2218693,14367112,29623709,-206049,43685303,1959002,13002508,28956340,-232548,46105514,2123829,14128728,30103041,-250083,46982399,1554373,14579475,31133654,-285103
30,Veracruz de Ignacio de la Llave,313406216,23620385,94085762,197281500,-1581432,327733662,22742199,101282417,205336396,-1627350,341730131,22568263,108492666,212651758,-1982556,371029545,23360148,127673773,222491316,-2495692,383086184,23759770,132961765,229296736,-2932086,381585246,23820171,129830629,231256337,-3321890,380652825,23364879,139260935,221667887,-3640876,387990653,23832971,135401707,232802438,-4046463,397130633,23779095,136305269,242043212,-4996943
31,Yucatán,95956498,4237381,26465153,66072761,-818798,102886637,4979922,27979128,70813580,-885993,107511101,4576763,28327645,75565305,-958612,113701406,5003155,28724728,81179595,-1206073,120661781,5093648,31113963,85964611,-1510441,120710262,4665128,28947367,88923497,-1825731,117822336,5008706,29331486,85672574,-2190431,122963277,5138770,30432810,89605364,-2213667,127307680,5277396,30318604,94193645,-2481965
32,Zacatecas,53417232,7494372,11849366,34341399,-267905,56148855,7151543,13623768,35760287,-386743,57190184,6351915,14179759,36945045,-286535,60285471,7482872,14540155,38616150,-353706,61754831,6720931,15678286,39790975,-435361,66351738,7571476,18664309,40613492,-497540,66495706,7572542,19910983,39571664,-559483,70199084,7720851,21834406,41245671,-601843,71592661,6761235,23306313,42239478,-714365
33,Extranjero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,No especificada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,"No aplicable, porque no existen datos para obtener su cálculo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
