Year,State_ID,State,Desocupada,Desocupada (hombres),Desocupada (mujeres),Disponible,No disponible,Ocupada,Ocupada (hombres),Ocupada (mujeres),PoblaciÃ³n de 14 y mÃ¡s aÃ±os,PoblaciÃ³n de 14 y mÃ¡s aÃ±os econÃ³micamente activa,PoblaciÃ³n de 14 y mÃ¡s aÃ±os no econÃ³micamente activa
2007,04,Campeche,8946.0,6644.0,2302.0,25814.0,197070.0,321966.0,208625.0,113341.0,553796.0,330912.0,222884.0
2007,05,Coahuila de Zaragoza,70665.0,44582.0,26083.0,86549.0,691633.0,1020697.0,667499.0,353198.0,1869544.0,1091362.0,778182.0
2007,06,Colima,7733.0,5300.0,2433.0,31451.0,133514.0,258139.0,155169.0,102970.0,430837.0,265872.0,164965.0
2007,07,Chiapas,32630.0,18237.0,14393.0,230772.0,1059832.0,1540937.0,1104161.0,436776.0,2864171.0,1573567.0,1290604.0
2007,08,Chihuahua,56791.0,38411.0,18380.0,145010.0,893516.0,1348205.0,874633.0,473572.0,2443522.0,1404996.0,1038526.0
2007,09,Ciudad de MÃ©xico,239988.0,130303.0,109685.0,412067.0,2229770.0,3972346.0,2276299.0,1696047.0,6854171.0,4212334.0,2641837.0
2007,10,Durango,28605.0,17475.0,11130.0,110336.0,385148.0,559152.0,375314.0,183838.0,1083241.0,587757.0,495484.0
2007,11,Guanajuato,75729.0,55448.0,20281.0,323474.0,1210699.0,1853069.0,1167523.0,685546.0,3462971.0,1928798.0,1534173.0
2007,12,Guerrero,12421.0,7290.0,5131.0,66571.0,844984.0,1147439.0,703451.0,443988.0,2071415.0,1159860.0,911555.0
2007,13,Hidalgo,43760.0,25554.0,18206.0,124761.0,636041.0,905383.0,569644.0,335739.0,1709945.0,949143.0,760802.0
2007,14,Jalisco,104094.0,59611.0,44483.0,257466.0,1633352.0,2879891.0,1776694.0,1103197.0,4874803.0,2983985.0,1890818.0
2007,15,MÃ©xico,357610.0,191113.0,166497.0,510001.0,3768253.0,5700767.0,3593926.0,2106841.0,10336631.0,6058377.0,4278254.0
2007,16,MichoacÃ¡n de Ocampo,44734.0,27127.0,17607.0,345390.0,886292.0,1536871.0,959199.0,577672.0,2813287.0,1581605.0,1231682.0
2007,17,Morelos,23939.0,12834.0,11105.0,74665.0,420406.0,674075.0,406578.0,267497.0,1193085.0,698014.0,495071.0
2007,18,Nayarit,12642.0,7128.0,5514.0,69859.0,200249.0,409710.0,255296.0,154414.0,692460.0,422352.0,270108.0
2007,19,Nuevo LeÃ³n,100048.0,57914.0,42134.0,188529.0,1005804.0,1909779.0,1224436.0,685343.0,3204160.0,2009827.0,1194333.0
2007,20,Oaxaca,26924.0,14732.0,12192.0,180380.0,916785.0,1344773.0,824074.0,520699.0,2468862.0,1371697.0,1097165.0
2007,21,Puebla,80859.0,43329.0,37530.0,337022.0,1182497.0,2234171.0,1352090.0,882081.0,3834549.0,2315030.0,1519519.0
2007,22,QuerÃ©taro,26091.0,17082.0,9009.0,103106.0,392178.0,647812.0,391639.0,256173.0,1169187.0,673903.0,495284.0
2007,23,Quintana Roo,15571.0,7692.0,7879.0,32466.0,235028.0,582454.0,360793.0,221661.0,865519.0,598025.0,267494.0
2007,24,San Luis PotosÃ­,32692.0,21812.0,10880.0,142098.0,588549.0,951842.0,603284.0,348558.0,1715181.0,984534.0,730647.0
2007,25,Sinaloa,29588.0,16213.0,13375.0,189611.0,602197.0,1106767.0,705926.0,400841.0,1928163.0,1136355.0,791808.0
2007,26,Sonora,25017.0,13826.0,11191.0,85847.0,681473.0,965456.0,595706.0,369750.0,1757793.0,990473.0,767320.0
2007,27,Tabasco,39919.0,26679.0,13240.0,106639.0,522310.0,773385.0,520541.0,252844.0,1442253.0,813304.0,628949.0
2007,28,Tamaulipas,62816.0,42242.0,20574.0,149252.0,782987.0,1275417.0,795630.0,479787.0,2270472.0,1338233.0,932239.0
2007,29,Tlaxcala,21621.0,12077.0,9544.0,86646.0,234034.0,425106.0,266344.0,158762.0,767407.0,446727.0,320680.0
2007,30,Veracruz de Ignacio de la Llave,62823.0,40499.0,22324.0,440136.0,1918472.0,2824805.0,1837481.0,987324.0,5246236.0,2887628.0,2358608.0
2007,31,YucatÃ¡n,16612.0,7418.0,9194.0,57404.0,441344.0,841202.0,510318.0,330884.0,1356562.0,857814.0,498748.0
2007,32,Zacatecas,24882.0,14878.0,10004.0,105117.0,317004.0,513509.0,321135.0,192374.0,960512.0,538391.0,422121.0
2008,01,Aguascalientes,25488.0,16329.0,9159.0,65513.0,271659.0,425958.0,269509.0,156449.0,788618.0,451446.0,337172.0
2008,02,Baja California,33638.0,21798.0,11840.0,58867.0,880391.0,1280838.0,801837.0,479001.0,2253734.0,1314476.0,939258.0
2008,03,Baja California Sur,7016.0,3705.0,3311.0,13385.0,129742.0,255429.0,161021.0,94408.0,405572.0,262445.0,143127.0
2008,04,Campeche,6303.0,4212.0,2091.0,23012.0,202769.0,338317.0,222794.0,115523.0,570401.0,344620.0,225781.0
2008,05,Coahuila de Zaragoza,64096.0,33229.0,30867.0,109124.0,653771.0,1078081.0,698390.0,379691.0,1905072.0,1142177.0,762895.0
2008,06,Colima,9380.0,5849.0,3531.0,39292.0,118637.0,276176.0,163475.0,112701.0,443485.0,285556.0,157929.0
2008,07,Chiapas,47714.0,30449.0,17265.0,211942.0,1098207.0,1579450.0,1117688.0,461762.0,2937313.0,1627164.0,1310149.0
2008,08,Chihuahua,53100.0,38462.0,14638.0,116904.0,903571.0,1384501.0,925294.0,459207.0,2458076.0,1437601.0,1020475.0
2008,09,Ciudad de MÃ©xico,222803.0,123252.0,99551.0,391549.0,2316744.0,3972930.0,2289940.0,1682990.0,6904026.0,4195733.0,2708293.0
2008,10,Durango,24839.0,17401.0,7438.0,95843.0,400807.0,576578.0,383867.0,192711.0,1098067.0,601417.0,496650.0
2008,11,Guanajuato,88183.0,64042.0,24141.0,373908.0,1206383.0,1873512.0,1157319.0,716193.0,3541986.0,1961695.0,1580291.0
2008,12,Guerrero,15675.0,7695.0,7980.0,97665.0,795847.0,1204612.0,719223.0,485389.0,2113799.0,1220287.0,893512.0
2008,13,Hidalgo,35716.0,22541.0,13175.0,115704.0,626941.0,919075.0,557769.0,361306.0,1697436.0,954791.0,742645.0
2008,14,Jalisco,110810.0,62848.0,47962.0,250068.0,1608775.0,2994551.0,1834755.0,1159796.0,4964204.0,3105361.0,1858843.0
2008,15,MÃ©xico,348299.0,214878.0,133421.0,560016.0,3854595.0,5777299.0,3625756.0,2151543.0,10540209.0,6125598.0,4414611.0
2008,16,MichoacÃ¡n de Ocampo,45937.0,25751.0,20186.0,284268.0,917034.0,1555995.0,968726.0,587269.0,2803234.0,1601932.0,1201302.0
2008,17,Morelos,22142.0,14435.0,7707.0,72212.0,425467.0,692733.0,411837.0,280896.0,1212554.0,714875.0,497679.0
2008,18,Nayarit,13487.0,8871.0,4616.0,66955.0,194152.0,418839.0,259264.0,159575.0,693433.0,432326.0,261107.0
