Year,State_ID,State,Capacidad instalada de las plantas potabilizadoras en operaciÃ³n (litros por segundo) a/,Capacidad total de almacenamiento de las presas (millones de metros cÃºbicos) b/,Capacidad Ãºtil de almacenamiento de las presas (millones de metros cÃºbicos) b/,CrÃ©ditos en programas de vivienda,Fuentes de abastecimiento de agua a/,InversiÃ³n ejercida en programas de vivienda (miles de pesos),Jardines vecinales a/,Localidades con el servicio de drenaje y alcantarillado a/,Localidades con el servicio de energÃ­a elÃ©ctrica a/,Localidades con red de distribuciÃ³n de agua entubada a/,Parques de juegos infantiles a/,Plantas potabilizadoras de agua en operaciÃ³n a/,Sistemas de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Tomas domiciliarias de agua entubada a/,Tomas instaladas de energÃ­a elÃ©ctrica a/,Volumen anual utilizado de agua de las presas (millones de metros cÃºbicos) c/,Volumen suministrado anual de agua potable (millones de metros cÃºbicos) b/
1996,07,Chiapas,ND,34501,21441,59876.0,430,305718.0,19,295,687,1979,154,ND,1979,295,381972,634934,67620,ND
1996,08,Chihuahua,ND,4458,2839,23743.0,394,897889.0,ND,136,3009,895,ND,ND,811,136,614174,699865,750,ND
1996,09,Ciudad de MÃ©xico,2308,2,ND,27328.0,369,2175236.0,ND,ND,ND,ND,ND,15,ND,ND,1384395,2293280,ND,43
1996,10,Durango,ND,4590,4005,13229.0,2511,268742.0,ND,1161,1974,1776,ND,ND,42,1161,299194,317591,718,ND
1996,11,Guanajuato,ND,ND,ND,10517.0,462,686004.0,ND,ND,6802,113,ND,ND,ND,46,578684,985227,ND,ND
1996,12,Guerrero,ND,ND,ND,72738.0,ND,424440.0,ND,ND,ND,ND,268,ND,ND,ND,201994,514054,ND,ND
1996,13,Hidalgo,ND,1943,ND,11468.0,ND,336816.0,38,157,755,1087,6,ND,410,157,ND,417211,ND,ND
1996,14,Jalisco,ND,2077,1828,25186.0,1200,861477.0,ND,ND,1466,ND,ND,ND,48,48,1024260,1292411,ND,ND
1996,15,MÃ©xico,ND,1230,ND,17265.0,178,1888092.0,ND,ND,ND,ND,ND,ND,ND,ND,1524745,2345060,ND,ND
1996,16,MichoacÃ¡n de Ocampo,ND,15288,ND,5042.0,ND,403419.0,9,ND,ND,ND,ND,ND,ND,ND,424303,858520,ND,ND
1996,17,Morelos,ND,54,47,6476.0,504,205036.0,360,ND,343,ND,118,ND,ND,ND,245645,355968,ND,ND
1996,18,Nayarit,ND,5584,2606,8463.0,695,170341.0,194,56,566,33,16,ND,22,56,131976,224212,5984,ND
1996,19,Nuevo LeÃ³n,ND,2397,1541,13934.0,509,939254.0,ND,ND,909,ND,ND,ND,ND,ND,781986,898865,ND,ND
1996,20,Oaxaca,ND,12516,10969,39008.0,1742,288212.0,ND,ND,4082,1627,ND,ND,1627,194,460404,687704,8146,ND
1996,21,Puebla,ND,667,366,32074.0,1743,387394.0,68,472,ND,1310,36,ND,1318,484,614901,ND,1481,ND
1996,22,QuerÃ©taro,ND,ND,ND,4734.0,227,435038.0,ND,177,ND,396,ND,ND,164,177,201869,ND,ND,ND
1996,23,Quintana Roo,ND,0,0,15907.0,597,306828.0,176,6,466,278,82,ND,11,6,125299,172172,0,ND
1996,24,San Luis PotosÃ­,ND,234,178,18140.0,208,514851.0,ND,432,ND,ND,ND,ND,ND,432,295544,454521,178,ND
1996,25,Sinaloa,ND,22079,14784,15824.0,1056,738811.0,ND,155,2567,1317,ND,ND,953,155,502553,555038,9904,ND
1996,26,Sonora,ND,9365,7393,8586.0,886,701192.0,ND,86,5161,697,ND,ND,697,86,465802,483752,ND,ND
1996,27,Tabasco,ND,0,0,18151.0,410,225687.0,100,105,547,722,76,ND,383,105,250967,352943,0,ND
1996,28,Tamaulipas,ND,14111,8878,38558.0,ND,766349.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,653398,1630,ND
1996,29,Tlaxcala,0,78,54,4382.0,392,139881.0,0,ND,376,450,0,0,305,ND,ND,176487,21,0
1996,30,Veracruz de Ignacio de la Llave,ND,869,560,11220.0,1073,794740.0,ND,280,3841,1647,ND,ND,1701,288,803400,1311553,1140,ND
1996,31,YucatÃ¡n,ND,0,0,46871.0,670,314830.0,ND,3,585,511,ND,ND,543,10,324850,409624,0,ND
1996,32,Zacatecas,ND,753,605,3751.0,953,117172.0,ND,370,3603,1023,ND,ND,876,341,252044,327120,259,ND
1997,01,Aguascalientes,ND,459,438,6679.0,413,339968.0,219,241,937,347,12,ND,253,241,187622,225666,186,ND
1997,02,Baja California,ND,190,135,8454.0,373,793603.0,20,ND,3008,52,39,ND,27,ND,537401,622736,88,ND
1997,03,Baja California Sur,ND,35,26,2730.0,173,116514.0,ND,15,1312,112,21,ND,107,12,97820,103915,17,ND
1997,04,Campeche,ND,0,0,5023.0,497,162291.0,82,6,268,280,116,ND,281,6,120682,113115,0,ND
1997,05,Coahuila de Zaragoza,ND,8673,5278,22089.0,318,941825.0,ND,ND,750,ND,ND,ND,ND,27,462339,568717,270,ND
1997,06,Colima,0,0,0,6943.0,216,153777.0,154,65,ND,205,45,0,205,65,137801,141113,150,0
1997,07,Chiapas,ND,36835,22902,64326.0,657,414768.0,57,296,3362,2314,14,ND,2314,296,392590,666335,53448,ND
1997,08,Chihuahua,ND,4263,2044,17161.0,411,841134.0,ND,160,3292,934,ND,ND,845,160,646818,728333,2689,ND
1997,09,Ciudad de MÃ©xico,2308,2,ND,28669.0,470,3086529.0,ND,ND,ND,ND,ND,15,ND,ND,1631398,2316212,ND,43
1997,10,Durango,ND,4590,4005,5295.0,2580,354776.0,ND,1212,3240,2088,ND,ND,42,1212,315026,330270,1288,ND
1997,11,Guanajuato,ND,ND,ND,12008.0,462,789867.0,ND,195,6909,ND,ND,ND,46,46,607331,1021458,ND,ND
1997,12,Guerrero,ND,ND,ND,12262.0,ND,442223.0,156,140,ND,ND,118,ND,ND,140,236170,536722,ND,ND
1997,13,Hidalgo,ND,1943,ND,28509.0,ND,382413.0,32,452,831,ND,6,ND,ND,452,ND,443255,ND,ND
1997,14,Jalisco,ND,10173,ND,9549.0,1136,902628.0,ND,ND,ND,66,ND,ND,63,ND,1111344,ND,ND,ND
1997,15,MÃ©xico,ND,1331,837,94842.0,166,1509082.0,ND,ND,1008,ND,ND,ND,ND,ND,1613557,2399970,1000,ND
