Year,State_ID,State,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Tasa de personas con sentencia condenatoria b/,Tasa de personas con sentencia condenatoria del fuero comÃºn d/,Tasa de personas con sentencia condenatoria del fuero federal c/
1997,03,Baja California Sur,1345.0,272.0,1020.0,192.0,85.4,83.1,97.4
1997,04,Campeche,1387.0,215.0,888.0,229.0,88.8,87.5,93.9
1997,05,Coahuila de Zaragoza,4831.0,681.0,2145.0,722.0,87.4,85.6,92.8
1997,06,Colima,1771.0,338.0,1048.0,367.0,91.9,90.8,95.1
1997,07,Chiapas,4924.0,830.0,3861.0,670.0,80.1,78.0,92.5
1997,08,Chihuahua,6662.0,2030.0,5287.0,1310.0,89.6,88.8,93.1
1997,09,Ciudad de MÃ©xico,15488.0,1571.0,14248.0,1242.0,86.3,85.8,92.4
1997,10,Durango,1587.0,662.0,1110.0,634.0,87.2,82.7,95.1
1997,11,Guanajuato,4373.0,1348.0,4732.0,1293.0,88.2,86.4,94.6
1997,12,Guerrero,2730.0,888.0,1357.0,584.0,75.9,68.5,93.2
1997,13,Hidalgo,1466.0,263.0,988.0,226.0,83.5,81.5,92.5
1997,14,Jalisco,7225.0,2144.0,5692.0,1767.0,83.7,82.5,87.4
1997,15,MÃ©xico,10152.0,1412.0,8637.0,1153.0,73.7,71.2,92.4
1997,16,MichoacÃ¡n de Ocampo,7817.0,1694.0,6360.0,1416.0,86.4,84.7,94.0
1997,17,Morelos,1956.0,664.0,1964.0,520.0,77.1,72.1,96.0
1997,18,Nayarit,2380.0,418.0,1973.0,429.0,93.8,93.0,97.4
1997,19,Nuevo LeÃ³n,4948.0,757.0,3589.0,751.0,86.7,85.5,92.3
1997,20,Oaxaca,5055.0,867.0,3619.0,680.0,92.5,92.2,94.3
1997,21,Puebla,4472.0,561.0,4271.0,577.0,88.4,87.4,96.5
1997,22,QuerÃ©taro,3384.0,220.0,2817.0,181.0,85.7,85.1,95.6
1997,23,Quintana Roo,1221.0,314.0,551.0,284.0,91.9,91.8,91.9
1997,24,San Luis PotosÃ­,3174.0,509.0,2477.0,516.0,83.2,80.3,96.9
1997,25,Sinaloa,4240.0,2484.0,3486.0,1932.0,87.4,83.6,94.1
1997,26,Sonora,6098.0,1767.0,5138.0,1299.0,89.1,88.4,91.8
1997,27,Tabasco,3369.0,486.0,3465.0,436.0,80.5,79.5,89.2
1997,28,Tamaulipas,7474.0,2139.0,6010.0,1754.0,87.3,85.5,93.6
1997,29,Tlaxcala,1090.0,216.0,668.0,162.0,85.1,82.6,95.1
1997,30,Veracruz de Ignacio de la Llave,10126.0,1022.0,7347.0,892.0,89.9,89.5,92.7
1997,31,YucatÃ¡n,2222.0,120.0,2306.0,138.0,74.8,74.0,88.4
1997,32,Zacatecas,2361.0,263.0,1716.0,272.0,89.9,89.0,95.2
1997,33,Extranjero,5.0,35.0,1.0,19.0,100.0,100.0,100.0
