Year,State_ID,State,Total
2003,19,Nuevo LeÃ³n,1690.0
2003,20,Oaxaca,240.0
2003,21,Puebla,1723.0
2003,22,QuerÃ©taro,565.0
2003,23,Quintana Roo,93.0
2003,24,San Luis PotosÃ­,164.0
2003,25,Sinaloa,174.0
2003,26,Sonora,762.0
2003,27,Tabasco,65.0
2003,28,Tamaulipas,532.0
2003,29,Tlaxcala,103.0
2003,30,Veracruz de Ignacio de la Llave,1605.0
2003,31,YucatÃ¡n,131.0
2003,32,Zacatecas,25.0
2004,01,Aguascalientes,55.0
2004,02,Baja California,2124.0
2004,03,Baja California Sur,149.0
2004,04,Campeche,13.0
2004,05,Coahuila de Zaragoza,146.0
2004,06,Colima,42.0
2004,07,Chiapas,25.0
2004,08,Chihuahua,41.0
2004,09,Ciudad de MÃ©xico,2963.0
2004,10,Durango,376.0
2004,11,Guanajuato,128.0
2004,12,Guerrero,427.0
2004,13,Hidalgo,574.0
2004,14,Jalisco,6616.0
2004,15,MÃ©xico,3079.0
2004,16,MichoacÃ¡n de Ocampo,123.0
2004,17,Morelos,371.0
2004,18,Nayarit,114.0
2004,19,Nuevo LeÃ³n,1158.0
2004,20,Oaxaca,192.0
2004,21,Puebla,1208.0
2004,22,QuerÃ©taro,438.0
2004,23,Quintana Roo,130.0
2004,24,San Luis PotosÃ­,164.0
2004,25,Sinaloa,178.0
2004,26,Sonora,997.0
2004,27,Tabasco,101.0
2004,28,Tamaulipas,509.0
2004,29,Tlaxcala,88.0
2004,30,Veracruz de Ignacio de la Llave,1258.0
2004,31,YucatÃ¡n,107.0
2004,32,Zacatecas,39.0
2005,01,Aguascalientes,76.0
2005,02,Baja California,2347.0
2005,03,Baja California Sur,118.0
2005,04,Campeche,19.0
2005,05,Coahuila de Zaragoza,416.0
2005,06,Colima,53.0
2005,07,Chiapas,27.0
2005,08,Chihuahua,53.0
2005,09,Ciudad de MÃ©xico,2994.0
2005,10,Durango,379.0
2005,11,Guanajuato,104.0
2005,12,Guerrero,515.0
2005,13,Hidalgo,448.0
2005,14,Jalisco,3251.0
2005,15,MÃ©xico,2903.0
2005,16,MichoacÃ¡n de Ocampo,129.0
2005,17,Morelos,591.0
2005,18,Nayarit,82.0
2005,19,Nuevo LeÃ³n,1226.0
2005,20,Oaxaca,166.0
2005,21,Puebla,1389.0
2005,22,QuerÃ©taro,463.0
2005,23,Quintana Roo,103.0
2005,24,San Luis PotosÃ­,165.0
2005,25,Sinaloa,185.0
2005,26,Sonora,1295.0
2005,27,Tabasco,61.0
2005,28,Tamaulipas,402.0
2005,29,Tlaxcala,107.0
2005,30,Veracruz de Ignacio de la Llave,1087.0
2005,31,YucatÃ¡n,117.0
2006,01,Aguascalientes,85.0
2006,02,Baja California,2628.0
2006,03,Baja California Sur,138.0
2006,04,Campeche,16.0
2006,05,Coahuila de Zaragoza,140.0
2006,06,Colima,38.0
2006,07,Chiapas,17.0
2006,08,Chihuahua,62.0
2006,09,Ciudad de MÃ©xico,3285.0
2006,10,Durango,391.0
2006,11,Guanajuato,130.0
2006,12,Guerrero,445.0
2006,13,Hidalgo,401.0
2006,14,Jalisco,9014.0
2006,15,MÃ©xico,2383.0
2006,16,MichoacÃ¡n de Ocampo,138.0
2006,17,Morelos,470.0
2006,18,Nayarit,77.0
2006,19,Nuevo LeÃ³n,1326.0
2006,20,Oaxaca,96.0
2006,21,Puebla,1415.0
2006,22,QuerÃ©taro,488.0
2006,23,Quintana Roo,147.0
2006,24,San Luis PotosÃ­,196.0
2006,25,Sinaloa,166.0
2006,26,Sonora,923.0
2006,27,Tabasco,55.0
2006,28,Tamaulipas,416.0
2006,29,Tlaxcala,166.0
2006,30,Veracruz de Ignacio de la Llave,1226.0
2006,31,YucatÃ¡n,88.0
2007,01,Aguascalientes,93.0
2007,02,Baja California,2669.0
2007,03,Baja California Sur,171.0
2007,04,Campeche,5.0
2007,05,Coahuila de Zaragoza,257.0
2007,06,Colima,60.0
2007,08,Chihuahua,43.0
2007,09,Ciudad de MÃ©xico,3677.0
2007,10,Durango,418.0
2007,11,Guanajuato,188.0
2007,12,Guerrero,355.0
2007,13,Hidalgo,472.0
2007,14,Jalisco,3914.0
2007,15,MÃ©xico,3367.0
2007,16,MichoacÃ¡n de Ocampo,129.0
2007,17,Morelos,598.0
2007,18,Nayarit,70.0
2007,19,Nuevo LeÃ³n,1620.0
2007,20,Oaxaca,151.0
2007,21,Puebla,1086.0
2007,22,QuerÃ©taro,696.0
2007,23,Quintana Roo,96.0
2007,24,San Luis PotosÃ­,258.0
2007,25,Sinaloa,197.0
2007,26,Sonora,1156.0
2007,27,Tabasco,72.0
2007,28,Tamaulipas,314.0
2007,29,Tlaxcala,208.0
2007,30,Veracruz de Ignacio de la Llave,1087.0
2007,31,YucatÃ¡n,79.0
2007,32,Zacatecas,36.0
2008,01,Aguascalientes,137.0
2008,02,Baja California,3860.0
2008,03,Baja California Sur,163.0
2008,04,Campeche,14.0
2008,05,Coahuila de Zaragoza,208.0
2008,06,Colima,115.0
2008,08,Chihuahua,45.0
2008,09,Ciudad de MÃ©xico,3067.0
2008,10,Durango,322.0
2008,11,Guanajuato,154.0
2008,12,Guerrero,368.0
2008,13,Hidalgo,558.0
2008,14,Jalisco,1921.0
2008,15,MÃ©xico,2148.0
2008,16,MichoacÃ¡n de Ocampo,140.0
2008,17,Morelos,420.0
2008,18,Nayarit,95.0
2008,19,Nuevo LeÃ³n,5474.0
2008,20,Oaxaca,481.0
2008,21,Puebla,1560.0
2008,22,QuerÃ©taro,845.0
2008,23,Quintana Roo,162.0
2008,24,San Luis PotosÃ­,197.0
2008,25,Sinaloa,156.0
2008,26,Sonora,335.0
2008,27,Tabasco,70.0
2008,28,Tamaulipas,300.0
2008,29,Tlaxcala,201.0
2008,30,Veracruz de Ignacio de la Llave,1007.0
2008,31,YucatÃ¡n,46.0
2008,32,Zacatecas,15.0
2009,01,Aguascalientes,95.0
2009,02,Baja California,3220.0
2009,03,Baja California Sur,190.0
2009,04,Campeche,7.0
2009,05,Coahuila de Zaragoza,183.0
2009,06,Colima,65.0
2009,08,Chihuahua,40.0
2009,09,Ciudad de MÃ©xico,1979.0
2009,10,Durango,366.0
2009,11,Guanajuato,139.0
2009,12,Guerrero,443.0
2009,13,Hidalgo,480.0
2009,14,Jalisco,2161.0
2009,15,MÃ©xico,3598.0
2009,16,MichoacÃ¡n de Ocampo,178.0
2009,17,Morelos,484.0
2009,18,Nayarit,99.0
2009,19,Nuevo LeÃ³n,5653.0
2009,20,Oaxaca,305.0
2009,21,Puebla,2227.0
2009,22,QuerÃ©taro,700.0
2009,23,Quintana Roo,209.0
2009,24,San Luis PotosÃ­,241.0
2009,25,Sinaloa,129.0
2009,26,Sonora,323.0
2009,27,Tabasco,190.0
2009,28,Tamaulipas,244.0
2009,29,Tlaxcala,174.0
2009,30,Veracruz de Ignacio de la Llave,823.0
2009,31,YucatÃ¡n,54.0
2009,32,Zacatecas,20.0
2010,01,Aguascalientes,207.0
2010,02,Baja California,3074.0
2010,03,Baja California Sur,216.0
2010,04,Campeche,21.0
2010,05,Coahuila de Zaragoza,188.0
2010,06,Colima,72.0
2010,08,Chihuahua,42.0
2010,09,Ciudad de MÃ©xico,1926.0
2010,10,Durango,372.0
2010,11,Guanajuato,192.0
2010,12,Guerrero,520.0
2010,13,Hidalgo,436.0
2010,14,Jalisco,1457.0
2010,15,MÃ©xico,3611.0
2010,16,MichoacÃ¡n de Ocampo,166.0
