Year,State,State_ID,Crime_type,Total
1997,NUEVO LEON,19,Cattle Thief,0
1997,NUEVO LEON,19,Highway Thief,0
1997,NUEVO LEON,19,Banking Thief,5
1997,OAXACA,20,Household Crimes,7286
1997,OAXACA,20,Rape,432
1997,OAXACA,20,Homicides,1796
1997,OAXACA,20,Injuries,5903
1997,OAXACA,20,Other Crimes,15123
1997,OAXACA,20,Kidnap,69
1997,OAXACA,20,Common Thief,5830
1997,OAXACA,20,Cattle Thief,0
1997,OAXACA,20,Highway Thief,0
1997,OAXACA,20,Banking Thief,0
1997,PUEBLA,21,Household Crimes,7344
1997,PUEBLA,21,Rape,570
1997,PUEBLA,21,Homicides,1909
1997,PUEBLA,21,Injuries,10213
1997,PUEBLA,21,Other Crimes,12633
1997,PUEBLA,21,Kidnap,23
1997,PUEBLA,21,Common Thief,16503
1997,PUEBLA,21,Cattle Thief,0
1997,PUEBLA,21,Highway Thief,0
1997,PUEBLA,21,Banking Thief,21
1997,QUERETARO,22,Household Crimes,2856
1997,QUERETARO,22,Rape,199
1997,QUERETARO,22,Homicides,520
1997,QUERETARO,22,Injuries,3636
1997,QUERETARO,22,Other Crimes,7075
1997,QUERETARO,22,Kidnap,3
1997,QUERETARO,22,Common Thief,7908
1997,QUERETARO,22,Cattle Thief,0
1997,QUERETARO,22,Highway Thief,0
1997,QUERETARO,22,Banking Thief,6
1997,QUINTANA ROO,23,Household Crimes,3659
1997,QUINTANA ROO,23,Rape,184
1997,QUINTANA ROO,23,Homicides,454
1997,QUINTANA ROO,23,Injuries,2336
1997,QUINTANA ROO,23,Other Crimes,4861
1997,QUINTANA ROO,23,Kidnap,8
1997,QUINTANA ROO,23,Common Thief,7806
1997,QUINTANA ROO,23,Cattle Thief,0
1997,QUINTANA ROO,23,Highway Thief,0
1997,QUINTANA ROO,23,Banking Thief,5
1997,SAN LUIS POTOSI,24,Household Crimes,6782
1997,SAN LUIS POTOSI,24,Rape,177
1997,SAN LUIS POTOSI,24,Homicides,497
1997,SAN LUIS POTOSI,24,Injuries,6294
1997,SAN LUIS POTOSI,24,Other Crimes,10223
1997,SAN LUIS POTOSI,24,Kidnap,0
1997,SAN LUIS POTOSI,24,Common Thief,7707
1997,SAN LUIS POTOSI,24,Cattle Thief,0
1997,SAN LUIS POTOSI,24,Highway Thief,0
1997,SAN LUIS POTOSI,24,Banking Thief,1
1997,SINALOA,25,Household Crimes,1638
1997,SINALOA,25,Rape,151
1997,SINALOA,25,Homicides,1343
1997,SINALOA,25,Injuries,2574
1997,SINALOA,25,Other Crimes,4521
1997,SINALOA,25,Kidnap,23
1997,SINALOA,25,Common Thief,10026
1997,SINALOA,25,Cattle Thief,0
1997,SINALOA,25,Highway Thief,0
1997,SINALOA,25,Banking Thief,15
1997,SONORA,26,Household Crimes,5691
1997,SONORA,26,Rape,248
1997,SONORA,26,Homicides,1122
1997,SONORA,26,Injuries,5770
1997,SONORA,26,Other Crimes,9983
1997,SONORA,26,Kidnap,7
1997,SONORA,26,Common Thief,17831
1997,SONORA,26,Cattle Thief,0
1997,SONORA,26,Highway Thief,0
1997,SONORA,26,Banking Thief,0
1997,TABASCO,27,Household Crimes,6363
1997,TABASCO,27,Rape,506
1997,TABASCO,27,Homicides,687
1997,TABASCO,27,Injuries,8854
1997,TABASCO,27,Other Crimes,8163
1997,TABASCO,27,Kidnap,318
1997,TABASCO,27,Common Thief,10950
1997,TABASCO,27,Cattle Thief,0
1997,TABASCO,27,Highway Thief,0
1997,TABASCO,27,Banking Thief,7
1997,TAMAULIPAS,28,Household Crimes,5494
1997,TAMAULIPAS,28,Rape,299
1997,TAMAULIPAS,28,Homicides,1227
1997,TAMAULIPAS,28,Injuries,6827
1997,TAMAULIPAS,28,Other Crimes,15813
1997,TAMAULIPAS,28,Kidnap,0
1997,TAMAULIPAS,28,Common Thief,15884
1997,TAMAULIPAS,28,Cattle Thief,0
1997,TAMAULIPAS,28,Highway Thief,0
1997,TAMAULIPAS,28,Banking Thief,23
1997,TLAXCALA,29,Household Crimes,1381
1997,TLAXCALA,29,Rape,200
1997,TLAXCALA,29,Homicides,233
1997,TLAXCALA,29,Injuries,1862
1997,TLAXCALA,29,Other Crimes,3377
1997,TLAXCALA,29,Kidnap,0
1997,TLAXCALA,29,Common Thief,2025
1997,TLAXCALA,29,Cattle Thief,0
1997,TLAXCALA,29,Highway Thief,0
1997,TLAXCALA,29,Banking Thief,0
1997,VERACRUZ,30,Household Crimes,11652
1997,VERACRUZ,30,Rape,1028
1997,VERACRUZ,30,Homicides,1727
1997,VERACRUZ,30,Injuries,12900
1997,VERACRUZ,30,Other Crimes,24665
1997,VERACRUZ,30,Kidnap,8
1997,VERACRUZ,30,Common Thief,23043
1997,VERACRUZ,30,Cattle Thief,0
1997,VERACRUZ,30,Highway Thief,0
1997,VERACRUZ,30,Banking Thief,14
1997,YUCATAN,31,Household Crimes,5461
1997,YUCATAN,31,Rape,172
1997,YUCATAN,31,Homicides,152
1997,YUCATAN,31,Injuries,5317
1997,YUCATAN,31,Other Crimes,5364
1997,YUCATAN,31,Kidnap,39
1997,YUCATAN,31,Common Thief,4975
1997,YUCATAN,31,Cattle Thief,0
1997,YUCATAN,31,Highway Thief,0
1997,YUCATAN,31,Banking Thief,4
1997,ZACATECAS,32,Household Crimes,2288
1997,ZACATECAS,32,Rape,85
1997,ZACATECAS,32,Homicides,356
1997,ZACATECAS,32,Injuries,1659
1997,ZACATECAS,32,Other Crimes,3637
1997,ZACATECAS,32,Kidnap,45
1997,ZACATECAS,32,Common Thief,3665
1997,ZACATECAS,32,Cattle Thief,0
1997,ZACATECAS,32,Highway Thief,0
1997,ZACATECAS,32,Banking Thief,8
1998,AGUASCALIENTES,1,Household Crimes,2436
1998,AGUASCALIENTES,1,Rape,86
1998,AGUASCALIENTES,1,Homicides,209
1998,AGUASCALIENTES,1,Injuries,1515
1998,AGUASCALIENTES,1,Other Crimes,2354
1998,AGUASCALIENTES,1,Kidnap,6
1998,AGUASCALIENTES,1,Common Thief,3395
1998,AGUASCALIENTES,1,Cattle Thief,0
1998,AGUASCALIENTES,1,Highway Thief,0
1998,AGUASCALIENTES,1,Banking Thief,6
1998,BAJA CALIFORNIA,2,Household Crimes,28905
1998,BAJA CALIFORNIA,2,Rape,417
